TID: [-1234] [2025-04-06 08:54:13,853] [d7c1d7e0-bdb7-46bf-aa95-3f047a38046f]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:13,865] [d7c1d7e0-bdb7-46bf-aa95-3f047a38046f]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:13,867] [d7c1d7e0-bdb7-46bf-aa95-3f047a38046f]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=024097013182 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:13,869] [d7c1d7e0-bdb7-46bf-aa95-3f047a38046f]  INFO {AUDIT_LOG} - Initiator : 024097013182 | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "387ec950-0af7-4c71-8b4a-c5c86e21dafb","ServiceProviderName" : "IOC_SSO","RequestType" : "oidc","RelyingParty" : "HtaKU1QO5ljmFXCnylLjrgG5idYa","StepNo" : "1","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Failed 
TID: [-1234] [2025-04-06 08:54:13,869] [d7c1d7e0-bdb7-46bf-aa95-3f047a38046f]  WARN {AUDIT_LOG} - Initiator : 024097013182@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Failure 
TID: [-1234] [2025-04-06 08:54:42,571] [2ae910bb-479a-4509-8697-f54d52423546]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:42,585] [2ae910bb-479a-4509-8697-f54d52423546]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:42,587] [2ae910bb-479a-4509-8697-f54d52423546]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=024097013182 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-06 08:54:42,587] [2ae910bb-479a-4509-8697-f54d52423546]  INFO {AUDIT_LOG} - Initiator : 024097013182 | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "387ec950-0af7-4c71-8b4a-c5c86e21dafb","ServiceProviderName" : "IOC_SSO","RequestType" : "oidc","RelyingParty" : "HtaKU1QO5ljmFXCnylLjrgG5idYa","StepNo" : "1","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Failed 
TID: [-1234] [2025-04-06 08:54:42,587] [2ae910bb-479a-4509-8697-f54d52423546]  WARN {AUDIT_LOG} - Initiator : 024097013182@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Failure 
TID: [-1234] [2025-04-06 08:55:14,357] [8e41b7d9-1d54-4d94-88e9-1cd10dfcbfee]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
